MES; DESCRIPCION; VENTAS (LTS) 
200801;"Enero 2008          ";258540
200802;"Febrero 2008        ";249187
200803;"Marzo 2008          ";269850
200804;"Abril 2008          ";305095
200805;"Mayo 2008           ";290840
200806;"Junio 2008          ";318710
200807;"Julio 2008          ";368710
200808;"Agosto 2008         ";350095
200809;"Septiembre 2008     ";314420
200810;"Octubre 2008        ";317492
200811;"Noviembre 2008      ";240209
200812;"Diciembre 2008      ";314984
200901;"Enero 2009          ";218666
200902;"Febrero 2009        ";246255
200903;"Marzo 2009          ";294857
200904;"Abril 2009          ";351336
200905;"Mayo 2009           ";277203
200906;"Junio 2009          ";342774
200907;"Julio 2009          ";400789
200908;"Agosto 2009         ";366084
200909;"Septiembre 2009     ";329586
200910;"Octubre 2009        ";331059
200911;"Noviembre 2009      ";268951
200912;"Diciembre 2009      ";332293
201001;"Enero 2010          ";231436
201002;"Febrero 2010        ";240939
201003;"Marzo 2010          ";336155
201004;"Abril 2010          ";299665
201005;"Mayo 2010           ";321658
201006;"Junio 2010          ";373183
201007;"Julio 2010          ";387900
201008;"Agosto 2010         ";384830
201009;"Septiembre 2010     ";330504
201010;"Octubre 2010        ";335367
201011;"Noviembre 2010      ";275170
201012;"Diciembre 2010      ";338359
201101;"Enero 2011          ";251510
201102;"Febrero 2011        ";248596
201103;"Marzo 2011          ";318620
201104;"Abril 2011          ";355598
201105;"Mayo 2011           ";354947
201106;"Junio 2011          ";377872
201107;"Julio 2011          ";373736
201108;"Agosto 2011         ";438411
201109;"Septiembre 2011     ";357443
201110;"Octubre 2011        ";333542
201111;"Noviembre 2011      ";329995
201112;"Diciembre 2011      ";337994
201201;"Enero 2012          ";302063
201202;"Febrero 2012        ";280175
201203;"Marzo 2012          ";344010
201204;"Abril 2012          ";351705
201205;"Mayo 2012           ";388638
201206;"Junio 2012          ";418578
201207;"Julio 2012          ";429709
201208;"Agosto 2012         ";500515
201209;"Septiembre 2012     ";389098
201210;"Octubre 2012        ";390723
201211;"Noviembre 2012      ";315684
201212;"Diciembre 2012      ";345774
201301;"Enero 2013          ";347993
201302;"Febrero 2013        ";295770
201303;"Marzo 2013          ";346151
201304;"Abril 2013          ";392772
201305;"Mayo 2013           ";421616
201306;"Junio 2013          ";400990
201307;"Julio 2013          ";555344
201308;"Agosto 2013         ";517296
201309;"Septiembre 2013     ";426434
201310;"Octubre 2013        ";457218
201311;"Noviembre 2013      ";377256
201312;"Diciembre 2013      ";429835
201401;"Enero  2014         ";375644
201402;"Febrero  2014       ";339325
201403;"Marzo  2014         ";438498
201404;"Abril  2014         ";561971
201405;"Mayo  2014          ";516456
201406;"Junio  2014         ";546705
201407;"Julio  2014         ";679876
201408;"Agosto  2014        ";595940
201409;"Septiembre  2014    ";586759
201410;"Octubre  2014       ";551459
201411;"Noviembre  2014     ";433385
201412;"Diciembre  2014     ";585781
201501;"Enero  2015         ";457681
201502;"Febrero  2015       ";399276
201503;"Marzo  2015         ";626121
201504;"Abril  2015         ";647908
201505;"Mayo  2015          ";621280
201506;"Junio  2015         ";724874
201507;"Julio  2015         ";849139
201508;"Agosto  2015        ";781736
201509;"Septiembre  2015    ";698004
201510;"Octubre  2015       ";623875
201511;"Noviembre  2015     ";596841
201512;"Diciembre  2015     ";753781
201601;"Enero 2016          ";534157
201602;"Febrero 2016        ";546612
201603;"Marzo 2016          ";697991
201604;"Abril 2016          ";640633
201605;"Mayo 2016           ";748669
201606;"Junio 2016          ";842989
201607;"Julio 2016          ";868517
201608;"Agosto 2016         ";1019985
201609;"Septiembre 2016     ";806662
201610;"Octubre 2016        ";758433
201611;"Noviembre 2016      ";750823
201612;"Diciembre 2016      ";767478
201701;"Enero 2017          ";672425
201702;"Febrero 2017        ";615818
201703;"Marzo 2017          ";844619
201704;"Abril 2017          ";924175
201705;"Mayo 2017           ";981209
201706;"Junio 2017          ";996564
201707;"Julio 2017          ";1016465
201708;"Agosto 2017         ";1175082
201709;"Septiembre 2017     ";914999
201710;"Octubre 2017        ";962744
201711;"Noviembre 2017      ";873175
201712;"Diciembre 2017      ";830126
201801;"Enero 2018          ";800036
201802;"Febrero 2018        ";690465
201803;"Marzo 2018          ";858895
201804;"Abril 2018          ";927067
201805;"Mayo 2018           ";1082389
201806;"Junio 2018          ";983581
201807;"Julio 2018          ";1177625
201808;"Agosto 2018         ";1265296
201809;"Septiembre 2018     ";991892
201810;"Octubre 2018        ";1047305
201811;"Noviembre 2018      ";833875
201812;"Diciembre 2018      ";939843
201901;"Enero 2019          ";920395
201902;"Febrero 2019        ";795420
201903;"Marzo 2019          ";999880
201904;"Abril 2019          ";1119686
201905;"Mayo 2019           ";1168451
201906;"Junio 2019          ";1082492
201907;"Julio 2019          ";1380279
201908;"Agosto 2019         ";1312794
