MES; DESCRIPCIÓN MES; VENTAS
200801;"Enero 2008          ";38810
200802;"Febrero 2008        ";30207
200803;"Marzo 2008          ";35605
200804;"Abril 2008          ";34915
200805;"Mayo 2008           ";39640
200806;"Junio 2008          ";38070
200807;"Julio 2008          ";49435
200808;"Agosto 2008         ";42475
200809;"Septiembre 2008     ";38040
200810;"Octubre 2008        ";36700
200811;"Noviembre 2008      ";26945
200812;"Diciembre 2008      ";37886
200901;"Enero 2009          ";27559
200902;"Febrero 2009        ";30799
200903;"Marzo 2009          ";36233
200904;"Abril 2009          ";42033
200905;"Mayo 2009           ";32869
200906;"Junio 2009          ";37535
200907;"Julio 2009          ";47405
200908;"Agosto 2009         ";41415
200909;"Septiembre 2009     ";36885
200910;"Octubre 2009        ";33675
200911;"Noviembre 2009      ";27520
200912;"Diciembre 2009      ";38300
201001;"Enero 2010          ";23845
201002;"Febrero 2010        ";29055
201003;"Marzo 2010          ";40565
201004;"Abril 2010          ";33152
201005;"Mayo 2010           ";31176
201006;"Junio 2010          ";39270
201007;"Julio 2010          ";41065
201008;"Agosto 2010         ";45170
201009;"Septiembre 2010     ";31910
201010;"Octubre 2010        ";34520
201011;"Noviembre 2010      ";24580
201012;"Diciembre 2010      ";37155
201101;"Enero 2011          ";23825
201102;"Febrero 2011        ";23420
201103;"Marzo 2011          ";28585
201104;"Abril 2011          ";30490
201105;"Mayo 2011           ";33704
201106;"Junio 2011          ";29560
201107;"Julio 2011          ";34040
201108;"Agosto 2011         ";40618
201109;"Septiembre 2011     ";29775
201110;"Octubre 2011        ";27635
201111;"Noviembre 2011      ";27351
201112;"Diciembre 2011      ";29290
201201;"Enero 2012          ";25520
201202;"Febrero 2012        ";22920
201203;"Marzo 2012          ";28139
201204;"Abril 2012          ";25250
201205;"Mayo 2012           ";25440
201206;"Junio 2012          ";29970
201207;"Julio 2012          ";31830
201208;"Agosto 2012         ";40375
201209;"Septiembre 2012     ";22400
201210;"Octubre 2012        ";23375
201211;"Noviembre 2012      ";18190
201212;"Diciembre 2012      ";23585
201301;"Enero 2013          ";20080
201302;"Febrero 2013        ";17490
201303;"Marzo 2013          ";21010
201304;"Abril 2013          ";22925
201305;"Mayo 2013           ";22420
201306;"Junio 2013          ";21465
201307;"Julio 2013          ";36535
201308;"Agosto 2013         ";33540
201309;"Septiembre 2013     ";24990
201310;"Octubre 2013        ";23780
201311;"Noviembre 2013      ";19980
201312;"Diciembre 2013      ";25020
201401;"Enero  2014         ";20585
201402;"Febrero  2014       ";18435
201403;"Marzo  2014         ";23050
201404;"Abril  2014         ";28130
201405;"Mayo  2014          ";26190
201406;"Junio  2014         ";28474
201407;"Julio  2014         ";32676
201408;"Agosto  2014        ";35335
201409;"Septiembre  2014    ";27140
201410;"Octubre  2014       ";24554
201411;"Noviembre  2014     ";16300
201412;"Diciembre  2014     ";28830
201501;"Enero  2015         ";22328
201502;"Febrero  2015       ";18365
201503;"Marzo  2015         ";26160
201504;"Abril  2015         ";23380
201505;"Mayo  2015          ";23520
201506;"Junio  2015         ";29505
201507;"Julio  2015         ";36135
201508;"Agosto  2015        ";38437
201509;"Septiembre  2015    ";23225
201510;"Octubre  2015       ";27140
201511;"Noviembre  2015     ";24960
201512;"Diciembre  2015     ";29520
201601;"Enero 2016          ";22910
201602;"Febrero 2016        ";21590
201603;"Marzo 2016          ";23030
201604;"Abril 2016          ";26145
201605;"Mayo 2016           ";27095
201606;"Junio 2016          ";28995
201607;"Julio 2016          ";36960
201608;"Agosto 2016         ";43565
201609;"Septiembre 2016     ";32380
201610;"Octubre 2016        ";23710
201611;"Noviembre 2016      ";23155
201612;"Diciembre 2016      ";29250
201701;"Enero 2017          ";24095
201702;"Febrero 2017        ";20795
201703;"Marzo 2017          ";25275
201704;"Abril 2017          ";32575
201705;"Mayo 2017           ";28330
201706;"Junio 2017          ";31728
201707;"Julio 2017          ";38978
201708;"Agosto 2017         ";39440
201709;"Septiembre 2017     ";28680
201710;"Octubre 2017        ";27120
201711;"Noviembre 2017      ";21860
201712;"Diciembre 2017      ";28015
201801;"Enero 2018          ";20550
201802;"Febrero 2018        ";19355
201803;"Marzo 2018          ";28855
201804;"Abril 2018          ";30460
201805;"Mayo 2018           ";30300
201806;"Junio 2018          ";33291
201807;"Julio 2018          ";43427
201808;"Agosto 2018         ";48260
201809;"Septiembre 2018     ";31511
201810;"Octubre 2018        ";30530
201811;"Noviembre 2018      ";27832
201812;"Diciembre 2018      ";31395
201901;"Enero 2019          ";25175
201902;"Febrero 2019        ";25922
201903;"Marzo 2019          ";34625
201904;"Abril 2019          ";36310
201905;"Mayo 2019           ";40655
201906;"Junio 2019          ";35720
201907;"Julio 2019          ";51670
201908;"Agosto 2019         ";56085
